Region,College Education,Unemployment,Low Health,Doctor,Smoker
HSR 1,0.4592769917693259,0.023569557971589557,0.22125086078109746,0.24614482015698502,0.187167
HSR 2,0.6923413486956046,0.023137878076873855,0.13723213849676458,0.2524708396521817,0.12950699999999998
HSR 3,0.7946929361582175,0.02273059165814808,0.07380456837710166,0.14886601813141112,0.084919
HSR 4,0.6515834960708439,0.03172584393988051,0.13719648432283288,0.23363190604977496,0.196453
HSR 5,0.6258667819438604,0.02083620175317821,0.12522152819807064,0.187235949311873,0.124721
HSR 6,0.48478375233723786,0.03378145467080317,0.18164783758099273,0.2926086533870134,0.188173
HSR 7,0.5015639579896098,0.042890851479808534,0.22834771633179166,0.25785617701161845,0.170443
HSR 8,0.49240381157856894,0.038060573380066506,0.2608850398646681,0.28303601218402,0.19991599999999998
HSR 9,0.6131514953997343,0.02842496733340034,0.11898632092728048,0.3390752314831649,0.16079100000000002
HSR 10,0.5250434880528858,0.03560482426461808,0.17883013008367799,0.3124229642635663,0.139821
HSR 11,0.5316917206518985,0.029832397656025897,0.1417640993164539,0.3120680394581039,0.15174200000000002
HSR 12,0.64825704135105,0.030895416261905,0.10885524674266359,0.3144473861016609,0.123981
HSR 13,0.4806955788847436,0.03404284822852389,0.20391710669482752,0.20028146817807385,0.268968
HSR 14,0.4977249939894565,0.029687457264205866,0.1237811563874493,0.29150044496492944,0.1724
HSR 15,0.6505913880638063,0.026365799840574855,0.14284722551583323,0.21848589822240455,0.168238
HSR 16,0.7714104043819632,0.02243575175222494,0.11911656039968596,0.20367481780377455,0.121439
HSR 17,0.6323979071814521,0.02733279613215149,0.16994834084554808,0.27941247510609396,0.17753
HSR 18,0.5264831345591383,0.0264588760337021,0.1106552050710554,0.24270737755502172,0.16066
HSR 19,0.5874413013909221,0.04287412386768865,0.13866842343863098,0.26279766639052266,0.191571
HSR 20,0.6584067487482883,0.026458672248184108,0.14314472757424682,0.30011442175688835,0.164248
HSR 21,0.6676609876053213,0.024927250277658856,0.09151265496579407,0.2237085004449651,0.13141999999999998
